player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Achref Abada,Algeria,Algeria,DF,27-010,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adil Boulbina,Algeria,Algeria,FW,23-054,2003,,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,10.0,5.6,,0,1,10.0,1,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Amine Gouiri,Algeria,Algeria,FW,26-129,2000,Marseille,2,2,148.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,0.61,0.61,3.0,2.0,66.7,1.82,1.22,0.33,0.5,74.0,82.2,74.0,0,0,,0,1.5,2.0,3.0,-1.0,-0.61,2.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Anis Hadj Moussa,Algeria,Algeria,MF,24-134,2002,Feyenoord,2,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.31,0.0,0.0,,39.0,43.3,63.0,0,1,15.0,0,1.5,1.0,2.0,-1.0,-1.15,-0.27,0.0,0.0,1.0,0.0,4.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Aïssa Mandi,Algeria,Algeria,DF,34-246,1991,Lille,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,2.0,4.0,-2.0,-1.0,,0.0,0.0,4.0,0.0,0.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Fares Chaïbi,Algeria,Algeria,MF,23-209,2002,Frankfurt,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,2.5,0.5,0.0,0.0,90.0,100.0,90.0,2,0,,0,1.5,2.0,4.0,-2.0,-1.0,,0.0,1.0,1.0,1.0,5.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Farés Ghedjemis,Algeria,Algeria,"FW,MF",23-292,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hicham Boudaoui,Algeria,Algeria,MF,26-275,1999,Nice,2,2,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,54.0,60.0,54.0,0,0,,0,1.5,0.0,3.0,-3.0,-2.5,-3.75,0.0,2.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Houssem Aouar,Algeria,Algeria,MF,27-360,1998,Al-Ittihad,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.33,0.0,0.0,,27.0,15.0,,0,1,27.0,1,0.0,0.0,1.0,-1.0,-3.33,-2.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ibrahim Maza,Algeria,Algeria,MF,20-213,2005,Leverkusen,2,2,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,2.63,1.05,0.0,0.0,86.0,95.0,86.0,1,0,,0,1.5,2.0,4.0,-2.0,-1.05,-1.05,0.0,0.0,3.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jaouen Hadjam,Algeria,Algeria,DF,23-091,2003,Young Boys,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,6.0,3.3,,0,1,6.0,1,3.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Luca Zidane,Algeria,Algeria,GK,28-043,1998,Granada,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,2.0,4.0,-2.0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,180.0,4.0,2.0,10.0,6.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Melvin Mastil,Algeria,Algeria,GK,26-126,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Amine Tougai,Algeria,Algeria,DF,26-154,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Amoura,Algeria,Algeria,"FW,MF",26-047,2000,Wolfsburg,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,27.0,15.0,,0,1,27.0,0,0.0,0.0,1.0,-1.0,-3.33,-2.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Nabil Bentaleb,Algeria,Algeria,MF,31-213,1994,Lille,2,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.72,0.0,0.0,,63.0,69.4,80.0,0,1,45.0,0,1.5,2.0,3.0,-1.0,-0.72,0.92,0.0,0.0,3.0,0.0,1.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Nadhir Benbouali,Algeria,Algeria,FW,26-069,2000,Győr,1,0,45.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,4.0,4.0,0.5,0.5,45.0,25.0,,0,1,45.0,1,3.0,2.0,0.0,2.0,4.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Oussama Benbot,Algeria,Algeria,GK,31-257,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafik Belghali,Algeria,Algeria,DF,24-018,2002,Hellas Verona,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,90.0,100.0,90.0,2,0,,0,1.5,2.0,4.0,-2.0,-1.0,,0.0,3.0,0.0,0.0,3.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ramiz Zerrouki,Algeria,Algeria,MF,28-030,1998,Twente,2,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,27.0,30.0,45.0,0,1,9.0,0,1.5,0.0,1.0,-1.0,-1.67,-0.95,0.0,2.0,0.0,0.0,0.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ramy Bensebaini,Algeria,Algeria,DF,31-070,1995,Dortmund,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,90.0,100.0,90.0,2,0,,0,1.5,2.0,4.0,-2.0,-1.0,,0.0,1.0,4.0,0.0,0.0,6.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,
Rayan Aït-Nouri,Algeria,Algeria,DF,25-019,2001,Manchester City,2,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.52,0.0,0.0,,87.0,96.7,87.0,1,0,,0,1.5,2.0,4.0,-2.0,-1.03,-1.03,0.0,3.0,3.0,0.0,7.0,2.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,
Riyad Mahrez,Algeria,Algeria,MF,35-124,1991,Al-Ahli,2,1,102.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.88,0.0,0.88,2.0,1.0,50.0,1.76,0.88,0.0,0.0,51.0,56.7,75.0,0,1,27.0,0,1.5,1.0,2.0,-1.0,-0.88,0.27,0.0,0.0,3.0,0.0,7.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Samir Chergui,Algeria,Algeria,DF,27-139,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yassine Titraoui,Algeria,Algeria,MF,22-334,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zineddine Belaïd,Algeria,Algeria,DF,27-097,1999,,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,5.0,2.8,,0,1,5.0,1,3.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,Argentina,Argentina,MF,27-183,1998,Liverpool,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,0.5,0.0,0.0,90.0,100.0,90.0,2,0,,0,3.0,5.0,0.0,5.0,2.5,,0.0,4.0,2.0,0.0,0.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Cristian Romero,Argentina,Argentina,DF,28-059,1998,Tottenham,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,68.0,75.0,68.0,0,0,,0,3.0,4.0,0.0,4.0,2.67,0.67,0.0,3.0,1.0,0.0,0.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Emiliano Martínez,Argentina,Argentina,GK,33-296,1992,Aston Villa,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,3.0,5.0,0.0,5.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,180.0,0.0,0.0,1.0,1.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,
Enzo Fernández,Argentina,Argentina,MF,25-159,2001,Chelsea,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,2,0,,0,3.0,5.0,0.0,5.0,2.5,,0.0,3.0,2.0,0.0,0.0,4.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Exequiel Palacios,Argentina,Argentina,"DF,MF",27-263,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Medina,Argentina,Argentina,DF,27-028,1999,Marseille,2,2,171.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.53,0.53,0.0,0.53,0.0,0.0,,0.0,0.0,,,86.0,95.0,86.0,1,0,,0,3.0,4.0,0.0,4.0,2.11,-7.89,0.0,3.0,2.0,0.0,0.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Flaco López,Argentina,Argentina,FW,25-201,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerónimo Rulli,Argentina,Argentina,GK,34-036,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovani Lo Celso,Argentina,Argentina,"FW,MF",30-077,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giuliano Simeone,Argentina,Argentina,"FW,MF",23-189,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Montiel,Argentina,Argentina,DF,29-175,1997,River Plate,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,25.0,45.0,0,0,,1,3.0,1.0,0.0,1.0,2.0,-0.67,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Juan Musso,Argentina,Argentina,GK,32-050,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julián Álvarez,Argentina,Argentina,"FW,MF",26-145,2000,Atlético Madrid,2,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.43,1.43,0.0,0.0,32.0,35.0,,0,2,32.0,0,3.0,3.0,0.0,3.0,4.29,2.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Lautaro Martínez,Argentina,Argentina,FW,28-307,1997,Inter,2,2,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.76,0.76,0.0,0.0,59.0,65.6,59.0,0,0,,0,3.0,2.0,0.0,2.0,1.53,-2.83,0.0,4.0,2.0,1.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Leandro Paredes,Argentina,Argentina,MF,31-361,1994,Boca Juniors,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,9.0,5.0,,0,1,9.0,1,3.0,1.0,0.0,1.0,10.0,7.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Lionel Messi,Argentina,Argentina,FW,39-001,1987,Inter Miami,2,2,169.0,1.9,5.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,2.66,0.0,2.66,2.66,2.66,13.0,8.0,61.5,6.92,4.26,0.38,0.63,85.0,93.9,85.0,1,0,,0,3.0,5.0,0.0,5.0,2.66,2.66,0.0,1.0,5.0,2.0,5.0,0.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Lisandro Martínez,Argentina,Argentina,DF,28-158,1998,Manchester Utd,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,3.0,5.0,0.0,5.0,2.5,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Marcos Senesi,Argentina,Argentina,DF,29-046,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahuel Molina,Argentina,Argentina,DF,28-080,1998,Atlético Madrid,2,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,68.0,75.0,90.0,1,1,45.0,0,3.0,4.0,0.0,4.0,2.67,0.67,0.0,1.0,0.0,0.0,0.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás González,Argentina,Argentina,"FW,MF",28-080,1998,Atlético Madrid,2,0,62.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,1.45,2.0,0.0,0.0,2.9,0.0,0.0,,31.0,34.4,,0,2,31.0,0,3.0,3.0,0.0,3.0,4.35,2.83,0.0,0.0,2.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás Otamendi,Argentina,Argentina,DF,38-133,1988,Benfica,2,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,23.0,25.0,,0,2,23.0,0,3.0,1.0,0.0,1.0,2.0,-0.67,0.0,2.0,0.0,0.0,0.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás Paz,Argentina,Argentina,MF,21-290,2004,Como,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,11.0,6.1,,0,1,11.0,1,3.0,0.0,0.0,0.0,0.0,-2.66,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás Tagliafico,Argentina,Argentina,DF,33-298,1992,Lyon,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,9.0,5.0,,0,1,9.0,1,3.0,1.0,0.0,1.0,10.0,7.89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Rodrigo De Paul,Argentina,Argentina,MF,32-032,1994,Inter Miami,2,2,171.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,0.0,0.53,0.0,0.0,,0.0,0.0,,,86.0,95.0,86.0,1,0,,0,3.0,4.0,0.0,4.0,2.11,-7.89,0.0,0.0,1.0,0.0,3.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Thiago Almada,Argentina,Argentina,MF,25-060,2001,Atlético Madrid,2,2,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.77,0.0,0.0,,59.0,65.0,59.0,0,0,,0,3.0,2.0,0.0,2.0,1.54,-2.75,0.0,0.0,1.0,2.0,0.0,0.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Valentín Barco,Argentina,Argentina,"DF,MF",21-337,2004,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiden O'Neill,Australia,Australia,MF,27-356,1998,NYCFC,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,2.0,2.0,0.0,0.0,,0.0,1.0,5.0,0.0,4.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ajdin Hrustic,Australia,Australia,MF,29-355,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Circati,Australia,Australia,DF,22-258,2003,Parma,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,2,0,,0,1.5,2.0,2.0,0.0,0.0,,0.0,3.0,1.0,0.0,1.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Awer Mabil,Australia,Australia,"FW,MF",30-283,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aziz Behich,Australia,Australia,"DF,MF",35-191,1990,Melb City,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.0,3.9,,0,1,7.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Cameron Burgess,Australia,Australia,DF,30-247,1995,Swansea City,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,68.0,75.0,68.0,1,0,,0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Cammy Devlin,Australia,Australia,MF,28-018,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Metcalfe,Australia,Australia,MF,26-232,1999,St Pauli,2,1,135.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,0.67,2.0,2.0,100.0,1.33,1.33,0.5,0.5,68.0,75.0,90.0,1,1,45.0,0,1.5,2.0,0.0,2.0,1.33,5.33,0.0,0.0,0.0,0.0,6.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Cristian Volpato,Australia,Australia,MF,22-222,2003,Sassuolo,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,30.0,16.7,,0,1,30.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Harry Souttar,Australia,Australia,DF,27-246,1998,Leicester City,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.5,0.5,0.0,0.0,90.0,100.0,90.0,2,0,,0,1.5,2.0,2.0,0.0,0.0,,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jackson Irvine,Australia,Australia,"DF,MF",33-110,1993,St Pauli,2,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,10.0,11.1,,0,2,10.0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jacob Italiano,Australia,Australia,DF,24-330,2001,Grazer AK,2,2,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.55,0.0,0.0,,82.0,90.6,82.0,1,0,,0,1.5,1.0,2.0,-1.0,-0.55,-5.85,0.0,0.0,0.0,0.0,8.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Jason Geria,Australia,Australia,DF,33-046,1993,Albirex Niigata,2,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,31.0,34.4,,0,2,31.0,0,1.5,1.0,0.0,1.0,1.45,2.21,0.0,2.0,0.0,0.0,1.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jordy Bos,Australia,Australia,DF,23-239,2002,Feyenoord,2,2,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.04,0.0,0.0,,87.0,96.1,87.0,1,0,,0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Kai Trewin,Australia,Australia,"DF,MF",25-038,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Herrington,Australia,Australia,DF,18-293,2007,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathew Leckie,Australia,Australia,MF,35-141,1991,Melb City,1,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,,60.0,33.3,60.0,0,0,,1,0.0,0.0,2.0,-2.0,-3.0,-4.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mathew Ryan,Australia,Australia,GK,34-078,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miloš Degenek,Australia,Australia,"DF,MF",32-058,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Touré,Australia,Australia,FW,22-091,2004,Norwich City,2,2,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.53,0.76,0.0,0.0,59.0,65.6,59.0,0,0,,0,1.5,1.0,2.0,-1.0,-0.76,-2.21,0.0,3.0,1.0,1.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nestory Irankunda,Australia,Australia,MF,20-136,2006,Watford,2,1,105.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.86,0.0,0.86,0.86,0.86,2.0,2.0,100.0,1.71,1.71,0.5,0.5,53.0,58.3,60.0,0,1,45.0,0,1.5,1.0,0.0,1.0,0.86,2.06,0.0,3.0,2.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
